age,workclass,education_num,marital_status,occupation,relationship,sex,capital_gain,capital_loss,hours_per_week,target
24,2,13,4,7,1,0,0,0,40,0
20,2,9,4,4,3,1,0,0,47,0
47,4,13,2,3,0,1,0,0,50,0
36,2,10,0,2,4,0,0,0,40,0
31,2,10,4,3,4,1,0,0,60,0
34,5,13,5,3,4,0,0,0,38,0
49,4,13,2,3,0,1,0,0,60,1
37,2,10,2,0,0,1,0,0,50,0
20,1,10,4,3,1,0,0,0,35,0
37,2,9,2,13,0,1,0,0,50,0
31,3,9,4,2,1,1,0,0,45,0
61,2,13,0,11,1,0,0,0,30,0
22,2,10,4,11,3,0,0,0,25,0
20,2,9,4,11,1,0,0,0,30,0
26,2,11,5,0,4,0,0,0,35,0
42,2,10,0,11,4,1,0,0,40,0
27,1,9,4,10,1,1,2174,0,40,0
40,2,11,6,0,4,0,0,0,30,0
67,3,9,2,3,0,1,0,0,45,0
22,2,10,4,7,1,1,0,0,45,0
23,1,13,4,9,4,1,0,0,40,0
32,2,9,2,3,5,0,0,0,50,1
47,2,9,2,7,5,0,0,0,35,0
35,2,10,0,6,1,1,0,0,40,0
35,2,15,4,9,1,1,99999,0,45,1
39,2,10,0,11,4,0,0,0,40,0
30,2,13,2,2,0,1,0,0,40,0
39,2,9,5,5,1,1,0,0,40,0
37,5,12,2,7,0,1,0,0,35,0
74,2,10,2,11,0,1,0,0,20,1
29,2,9,4,5,1,0,0,0,40,0
39,2,10,2,11,5,0,0,0,30,1
51,2,10,2,5,0,1,0,0,50,0
22,2,12,4,0,1,0,0,0,40,0
32,2,9,4,2,3,1,0,0,40,0
27,2,13,4,0,1,1,0,0,35,0
24,2,9,2,5,0,1,0,0,40,0
41,4,13,2,4,0,1,0,0,75,1
23,2,10,2,13,0,1,0,0,40,0
32,2,11,5,12,3,1,0,1590,40,0
29,2,10,2,2,0,1,5013,0,40,0
43,2,9,2,2,0,1,0,0,40,0
51,2,9,4,7,1,1,0,0,40,0
36,2,9,4,11,1,1,0,0,50,0
56,2,9,2,7,0,1,0,0,20,0
20,2,10,4,11,3,0,0,0,4,0
27,2,10,2,13,0,1,0,0,48,0
24,2,9,0,10,1,1,0,0,40,0
26,2,13,4,3,1,1,0,0,40,0
28,2,13,4,9,1,1,0,1564,50,1
29,2,3,4,5,1,1,0,0,42,0
48,4,13,5,12,1,1,0,0,50,0
31,2,10,2,2,0,1,2407,0,65,0
33,4,15,2,9,5,0,0,0,55,1
30,2,10,2,11,0,1,0,0,75,0
31,1,10,4,0,3,1,0,0,40,0
59,2,9,2,6,0,1,0,0,40,0
26,2,9,0,11,4,0,0,0,30,0
31,1,9,0,0,4,0,0,0,40,0
19,5,9,4,0,3,0,0,0,30,0
45,1,14,2,9,0,1,0,0,50,1
42,2,13,5,7,2,1,0,0,50,0
38,2,7,2,13,0,1,0,0,40,0
54,2,10,2,0,0,1,0,0,40,1
57,4,9,2,11,0,1,0,0,72,0
22,2,6,5,7,4,0,0,0,40,0
38,2,6,5,0,4,1,0,3770,40,0
56,3,13,2,3,0,1,15024,0,50,1
19,2,10,4,5,3,1,0,0,24,0
21,2,10,4,0,3,1,0,0,40,0
58,2,9,6,11,1,1,0,0,38,0
57,2,9,2,0,5,0,0,0,45,0
45,2,14,2,9,0,1,0,0,36,1
37,2,13,2,12,0,1,0,0,45,1
55,2,10,0,6,3,1,0,0,40,0
23,2,6,4,2,1,1,0,0,40,0
18,2,9,4,11,3,0,0,0,33,0
26,2,9,4,2,3,1,0,0,40,0
35,2,12,2,11,0,1,0,0,60,0
36,3,10,2,9,0,1,0,0,50,1
31,2,13,0,3,4,0,0,0,40,0
33,2,5,2,13,2,1,0,0,40,0
47,2,11,4,7,1,1,0,0,40,0
28,2,9,4,6,3,1,0,0,50,0
49,2,11,3,5,4,1,0,1380,42,0
18,2,8,4,11,3,0,0,0,20,0
25,2,12,2,2,0,1,3103,0,45,1
57,4,11,2,3,0,1,0,0,20,0
49,4,16,2,9,5,0,0,0,35,1
57,2,10,6,12,1,0,0,0,16,0
73,2,9,2,7,0,1,0,0,30,0
21,2,9,4,4,3,1,0,0,24,0
31,2,11,0,2,1,1,0,0,40,0
23,2,10,4,0,1,0,0,0,40,0
28,2,10,4,9,1,1,0,0,40,0
44,2,13,2,9,0,1,0,0,40,1
61,0,10,2,13,0,1,0,0,40,0
29,2,13,2,9,0,1,0,0,50,1
27,2,9,2,2,0,1,0,0,53,0
20,2,9,4,2,1,1,0,0,40,0
18,2,6,4,7,3,0,0,0,3,0
35,2,9,0,6,4,0,0,0,48,0
44,2,10,2,0,5,0,0,0,35,0
24,2,5,4,2,2,1,0,0,58,0
43,2,13,2,3,0,1,0,0,50,1
36,2,12,2,2,0,1,0,0,52,1
60,2,4,2,2,0,1,0,0,40,0
53,2,8,2,12,0,1,0,0,45,1
40,2,9,2,13,0,1,0,0,50,0
46,2,9,2,2,0,1,3464,0,40,0
66,4,9,2,13,0,1,0,0,50,1
40,2,9,2,2,0,1,0,0,40,0
46,2,4,3,13,1,1,0,0,45,0
53,1,11,0,3,1,1,0,0,48,0
29,5,9,4,0,1,0,0,0,40,0
24,2,9,4,5,3,1,594,0,40,0
36,2,13,4,9,1,0,0,0,40,1
26,2,14,4,3,1,0,0,0,30,0
19,2,10,4,5,3,1,0,0,50,0
45,4,13,0,9,1,1,0,0,45,0
44,2,11,2,9,0,1,0,0,50,1
26,2,9,4,2,3,1,0,0,40,0
19,2,10,4,0,3,1,0,0,30,0
21,2,11,4,6,1,1,0,0,40,0
44,2,10,0,2,1,1,0,0,40,0
51,2,10,0,9,4,0,0,0,40,0
57,2,10,0,5,2,1,0,0,25,0
30,2,2,5,8,2,0,0,0,30,0
61,2,13,2,11,0,1,0,0,45,1
24,2,13,4,11,3,0,0,0,50,0
26,2,12,4,12,3,1,0,0,40,0
48,2,10,5,7,1,0,0,0,25,0
28,2,9,0,0,4,0,0,0,40,0
28,2,13,4,3,1,1,0,0,50,1
35,2,13,2,11,0,1,0,0,50,0
48,3,9,2,3,0,1,7688,0,40,1
38,2,14,2,9,0,1,0,0,40,1
26,2,9,2,0,5,0,0,0,40,0
26,4,9,2,0,0,1,0,0,40,0
35,2,13,2,0,0,1,0,0,40,1
46,2,9,2,7,5,0,0,0,40,0
27,1,12,4,10,3,1,0,0,40,0
24,2,9,4,11,3,1,0,2205,40,0
61,1,2,2,7,0,1,0,0,40,0
30,2,13,4,9,1,0,0,0,40,0
50,2,2,3,2,4,1,0,0,40,0
45,2,10,5,11,4,0,0,0,35,0
20,2,10,4,7,3,1,0,0,20,0
35,2,9,0,3,4,0,0,0,20,0
69,2,12,0,0,1,0,2964,0,6,0
44,2,9,2,6,0,1,0,0,40,0
31,2,2,2,6,0,1,0,0,40,0
29,2,9,2,2,0,1,0,0,40,0
30,3,9,2,5,0,1,0,0,60,0
29,2,9,4,2,1,1,0,0,40,0
23,1,9,4,0,3,1,0,0,40,0
40,2,9,4,2,3,0,0,0,40,0
51,2,9,2,13,0,1,0,0,50,1
45,2,9,2,2,0,1,0,0,46,0
40,2,13,2,3,0,1,15024,0,50,1
60,2,9,2,2,0,1,0,0,40,0
39,2,10,2,11,0,1,3103,0,50,1
28,2,10,4,2,4,1,0,0,40,0
43,5,9,2,2,0,1,0,0,40,0
20,2,9,4,5,3,1,0,0,44,0
30,2,9,4,2,4,1,0,0,40,0
46,2,12,2,0,0,1,0,0,40,0
25,2,9,3,4,1,1,0,0,40,0
50,1,14,2,9,0,1,0,0,50,0
59,2,9,2,5,0,1,0,0,40,1
23,2,10,0,7,3,0,0,0,24,0
30,2,13,4,3,1,1,0,0,55,1
90,2,9,6,0,4,0,0,0,25,0
24,2,10,4,0,3,0,0,0,40,0
27,2,10,4,0,2,0,0,0,40,0
51,3,13,2,10,0,1,0,0,40,1
32,2,6,2,5,2,1,0,0,40,0
35,2,5,2,7,0,1,0,0,32,0
35,2,10,0,11,4,0,0,0,30,0
21,2,13,4,11,3,0,0,0,30,0
25,2,10,4,11,4,0,0,0,40,0
54,5,13,2,3,0,1,0,0,38,0
28,2,9,2,6,0,1,0,1672,50,0
23,2,10,4,7,3,1,0,0,40,0
53,2,9,2,6,0,1,0,0,45,0
42,2,9,2,2,0,1,0,0,40,0
55,2,9,0,2,1,1,4787,0,40,1
26,2,9,4,7,3,0,0,0,30,0
27,4,9,2,13,0,1,0,0,40,0
61,4,15,2,9,0,1,0,0,35,1
28,2,13,2,9,5,0,0,0,45,1
60,2,10,0,0,1,0,0,0,40,0
35,2,10,2,5,0,1,0,0,40,0
20,2,10,4,7,3,0,0,0,20,0
40,4,12,0,3,1,1,0,0,30,0
23,2,10,4,11,1,1,0,0,40,0
31,2,9,2,7,5,0,0,0,35,0
20,2,10,4,13,1,1,0,0,60,0
30,2,12,4,9,1,0,0,0,40,0
41,2,11,0,9,4,0,3887,0,40,0
65,4,4,2,4,0,1,0,0,40,0
41,2,14,2,12,0,1,0,1887,45,1
58,2,14,0,9,1,1,0,0,20,0
19,2,9,4,6,3,0,0,0,40,0
65,2,13,2,0,0,1,0,0,34,0
32,2,9,2,6,0,1,0,0,42,0
36,2,9,2,2,0,1,0,0,45,0
34,2,9,5,5,1,1,2463,0,40,0
24,2,12,0,6,1,1,0,0,40,0
36,2,10,5,11,4,0,0,0,40,0
24,2,9,2,2,0,1,0,0,44,0
56,4,9,2,2,0,1,0,0,40,0
23,2,9,4,2,1,1,0,0,40,0
22,2,13,4,9,1,1,0,0,40,0
51,3,13,2,3,0,1,0,0,40,0
48,5,9,2,0,0,1,0,0,35,1
27,2,10,4,5,1,1,0,0,48,0
37,2,9,0,5,1,1,0,0,40,0
28,2,10,4,3,1,0,0,0,40,0
33,2,11,2,11,0,1,0,0,40,0
32,2,9,0,2,4,1,0,0,35,0
57,2,13,2,11,0,1,15024,0,45,1
25,1,9,4,0,3,0,0,0,40,0
26,2,7,2,7,5,0,2407,0,36,0
41,2,9,3,2,4,0,0,0,40,0
45,2,9,5,6,4,0,0,0,15,0
18,2,10,4,5,3,1,0,0,20,0
38,2,13,4,11,1,1,0,0,48,1
21,2,10,4,7,3,0,0,0,30,0
40,2,9,2,9,0,1,0,1902,40,1
23,2,10,4,6,4,1,0,0,40,0
21,2,9,4,11,1,0,0,0,40,0
67,2,9,6,11,1,0,0,0,32,0
27,2,9,2,2,0,1,0,0,40,0
55,2,9,0,6,1,0,0,0,40,0
46,2,9,4,2,3,1,0,0,40,0
42,2,13,2,11,0,1,0,0,40,1
42,2,10,2,6,0,1,0,0,40,0
32,2,12,2,9,0,1,0,0,45,1
33,2,12,0,9,4,0,0,0,32,0
24,5,9,2,10,0,1,0,0,40,0
29,6,10,2,4,3,1,0,0,65,0
47,2,10,0,0,1,0,0,0,37,0
52,4,9,0,4,1,1,0,0,25,0
27,2,13,2,11,0,1,0,0,60,1
48,2,3,2,13,0,1,0,0,40,0
36,2,9,4,2,3,1,0,0,40,0
44,1,10,2,10,0,1,0,0,80,1
39,2,9,4,0,1,1,0,0,40,0
35,2,9,2,13,0,1,0,0,50,0
46,2,9,2,2,0,1,7298,0,40,1
55,1,9,2,7,0,1,0,0,40,0
34,4,16,2,9,0,1,0,0,32,1
32,1,9,2,7,0,1,0,0,41,0
64,2,4,2,4,0,1,0,0,40,1
21,2,9,4,6,3,1,0,0,40,0
31,3,10,4,3,1,1,0,0,65,1
25,2,9,4,7,3,1,0,0,30,0
40,2,13,2,3,0,1,0,0,50,1
35,2,10,0,0,4,0,0,0,40,0
52,3,10,0,3,1,1,0,0,65,1
69,2,9,2,0,0,1,0,0,36,0
57,1,14,2,10,0,1,0,0,14,1
25,2,6,4,2,1,1,0,0,40,0
43,2,14,2,3,0,1,0,0,45,0
62,2,6,2,5,0,1,0,0,40,0
37,1,13,2,7,0,1,0,0,40,1
41,3,13,2,3,0,1,0,0,99,1
47,2,9,2,6,0,1,0,0,50,0
41,4,9,4,7,1,1,0,0,60,0
43,2,14,0,9,1,1,0,0,40,0
47,2,9,0,6,4,0,0,0,60,0
42,4,9,0,3,4,1,0,0,55,0
37,2,10,0,0,4,0,0,0,35,0
41,1,10,0,7,4,0,0,0,45,0
55,2,10,4,0,3,0,0,0,40,0
26,2,6,4,2,2,1,0,0,24,0
36,5,10,4,5,1,1,0,0,38,0
62,2,13,4,4,1,1,0,0,30,0
23,2,7,4,2,3,1,0,0,3,0
27,2,13,4,11,1,1,13550,0,46,1
27,2,12,4,9,1,0,0,0,42,0
39,4,10,2,4,0,1,0,0,60,0
30,5,9,4,7,1,0,0,0,40,0
54,1,14,6,9,4,0,0,0,38,0
45,0,13,2,5,0,1,0,0,40,0
51,2,13,2,10,0,1,0,1902,50,1
48,2,9,2,6,0,1,0,0,40,1
31,2,10,4,3,1,0,0,0,40,0
37,2,10,2,13,0,1,0,0,40,1
40,2,13,2,9,0,1,0,0,46,1
32,2,9,2,11,0,1,0,0,40,0
62,2,9,2,3,0,1,0,0,45,1
39,2,9,2,5,0,1,0,0,40,0
46,2,9,2,6,0,1,0,0,40,0
61,4,9,2,4,0,1,0,2352,50,0
29,2,9,3,13,3,1,0,0,30,0
37,2,13,2,6,0,1,0,0,40,1
53,1,5,2,13,0,1,0,0,40,0
47,2,2,6,6,4,1,0,0,40,0
42,2,15,0,9,1,0,0,0,39,1
44,4,10,3,3,1,1,0,0,80,0
24,2,7,4,2,3,1,0,0,35,0
23,2,13,4,12,3,0,0,0,32,0
27,2,14,2,3,0,1,0,0,45,1
59,2,13,5,0,4,1,0,0,60,0
40,4,13,2,13,0,1,0,0,70,0
19,2,10,4,0,1,1,2176,0,35,0
25,2,13,2,0,5,0,0,0,40,0
43,2,9,4,0,4,0,8614,0,43,1
41,4,4,2,2,0,1,0,2179,40,0
18,2,6,4,5,1,1,0,0,40,0
31,2,9,0,11,1,0,0,0,32,0
29,2,3,2,4,0,1,0,0,40,0
38,2,13,2,11,0,1,0,0,50,1
33,2,14,4,0,1,0,0,0,40,0
28,2,9,2,11,0,1,0,0,50,0
34,1,13,2,10,0,1,0,0,40,1
63,2,10,4,3,1,0,0,0,40,0
64,4,9,2,4,0,1,7298,0,45,1
37,2,9,4,11,1,1,0,2339,40,0
47,2,13,6,8,4,0,25236,0,35,1
42,2,16,2,9,0,1,0,0,40,1
40,2,10,4,2,3,1,0,0,40,0
30,2,9,2,6,0,1,0,0,44,0
51,2,10,5,3,1,0,0,0,40,0
38,2,10,4,0,1,1,0,0,48,0
26,2,3,2,2,0,1,0,1628,50,0
29,4,13,4,9,1,0,0,0,40,0
42,2,9,0,3,1,0,0,0,40,0
18,2,10,4,7,2,0,0,0,40,0
37,4,9,2,4,0,1,0,0,60,0
19,2,10,4,11,3,1,0,0,15,0
30,2,9,0,0,4,0,0,0,40,0
42,2,13,0,3,1,0,0,0,50,1
47,2,8,2,0,0,1,0,0,40,0
39,2,6,2,6,0,1,0,0,60,0
32,2,9,2,2,0,1,0,1485,40,0
27,2,9,2,5,0,1,0,0,40,0
20,2,9,2,0,0,1,0,0,60,0
27,0,11,2,0,0,1,7298,0,50,1
32,2,9,2,2,0,1,2407,0,40,0
48,2,11,0,9,1,1,4650,0,50,0
42,5,15,2,9,0,1,0,0,72,1
43,2,10,2,0,5,0,0,0,40,0
40,2,10,0,3,1,0,0,0,40,0
26,2,9,4,12,4,0,0,0,40,0
51,2,14,2,3,0,1,7298,0,50,1
46,2,13,2,11,0,1,0,0,55,1
38,2,9,4,7,4,0,0,0,40,0
30,2,10,5,13,1,1,0,0,20,0
42,2,14,2,0,0,1,0,1902,40,1
46,2,9,0,12,1,0,0,0,20,0
53,2,9,2,6,0,1,0,0,40,1
21,2,10,4,13,3,1,0,0,50,0
57,5,10,2,9,0,1,0,0,35,1
34,2,14,2,3,0,1,0,0,50,0
66,3,4,2,2,0,1,0,0,40,1
21,2,7,4,9,1,0,0,0,24,0
28,2,11,4,0,3,0,0,0,40,0
38,2,9,5,11,1,1,0,0,60,0
31,2,13,2,9,5,0,7688,0,43,1
28,2,9,2,0,5,0,99999,0,36,1
41,1,12,2,3,0,1,0,0,50,1
32,2,9,4,6,1,1,0,0,40,0
29,2,10,0,7,4,0,0,0,28,0
23,2,10,4,11,3,1,0,0,9,0
40,2,9,2,2,0,1,0,0,40,0
19,2,9,4,2,3,1,0,0,35,0
39,2,9,4,12,1,1,0,0,62,0
32,2,13,4,6,1,1,0,0,40,0
40,2,9,3,0,3,0,0,0,38,0
80,2,3,2,7,0,1,0,0,32,0
45,2,10,2,9,0,1,0,0,50,1
62,2,14,2,3,0,1,15024,0,40,1
28,2,10,4,0,1,0,0,0,52,0
72,2,9,6,7,4,0,0,0,25,0
23,2,11,4,0,3,0,0,0,36,0
24,2,10,4,7,1,1,0,0,35,0
36,2,15,2,9,0,1,0,0,50,1
36,2,10,0,0,4,0,0,0,40,0
49,2,10,2,2,0,1,0,0,40,0
51,2,9,2,2,0,1,15024,0,40,1
32,2,13,2,3,0,1,0,0,60,1
45,2,9,0,7,3,0,0,0,60,0
55,2,13,2,3,0,1,0,0,40,1
52,2,6,2,6,0,1,0,0,48,0
50,1,9,4,7,1,0,0,0,40,0
37,4,9,0,2,1,1,0,0,40,0
33,4,10,4,2,3,1,0,0,48,0
32,2,9,4,13,3,1,0,0,45,0
35,5,9,0,2,3,1,0,0,40,0
33,3,16,2,9,0,1,0,0,40,1
26,2,10,4,11,3,1,0,0,42,0
19,2,9,4,11,3,0,0,0,35,0
36,2,9,2,11,0,1,0,0,50,1
35,2,9,2,2,0,1,0,0,40,0
24,2,9,4,12,4,0,1831,0,40,0
33,2,9,2,13,0,1,0,0,20,0
56,2,9,4,11,1,1,0,0,40,0
60,2,10,2,3,0,1,0,1902,40,1
40,2,5,0,13,1,1,0,0,30,0
38,2,13,5,2,1,1,0,0,40,0
31,2,10,4,0,1,1,0,0,40,0
49,2,13,2,9,0,1,0,0,40,0
46,2,15,5,9,1,1,0,0,50,1
54,2,10,5,7,1,1,0,0,28,0
21,2,10,4,7,1,1,0,0,40,0
24,2,13,4,12,3,0,0,0,40,0
24,2,13,4,9,3,0,0,0,40,0
23,2,10,4,6,1,1,0,0,40,0
46,2,14,2,9,0,1,0,0,35,0
20,2,9,4,7,1,0,0,0,20,0
27,2,9,4,2,3,1,0,0,40,0
66,2,9,2,13,0,1,0,0,24,0
55,2,9,0,5,1,0,0,0,40,0
33,1,13,2,0,0,1,0,1848,45,1
67,3,9,2,13,0,1,0,0,40,0
35,4,9,4,2,1,1,0,0,40,0
44,2,13,2,11,0,1,0,0,50,1
43,4,8,2,13,0,1,0,0,60,0
52,0,14,4,0,1,0,0,0,40,1
58,2,9,6,2,4,1,0,0,40,0
47,0,9,4,3,1,0,0,0,40,0
36,2,10,4,2,1,1,0,0,40,0
23,2,13,4,11,3,1,0,0,40,0
58,2,9,6,11,1,0,0,0,35,1
41,1,10,2,13,5,0,0,0,25,0
39,2,13,0,11,4,0,0,0,40,0
32,0,10,4,3,1,1,0,0,40,0
47,2,10,4,0,1,0,0,0,40,0
17,2,6,4,8,3,1,0,0,30,0
57,2,6,5,3,1,1,0,0,55,0
39,2,9,4,2,1,1,0,0,40,0
53,4,2,2,3,0,1,7688,0,67,1
24,2,13,4,11,3,1,0,0,40,0
49,2,10,2,0,0,1,0,1902,50,1
19,0,9,1,11,5,0,0,0,40,0
26,2,11,4,3,1,1,0,0,50,0
31,5,9,4,0,1,0,0,0,37,0
35,2,7,5,13,1,1,0,0,90,0
32,2,7,2,6,5,0,0,0,40,0
52,2,10,2,3,0,1,7688,0,40,1
42,2,13,4,11,3,1,0,0,60,0
35,2,9,2,6,0,1,2885,0,40,0
23,2,7,4,5,3,1,0,0,30,0
30,2,9,4,7,1,1,0,0,30,0
29,2,10,2,0,5,0,0,0,40,1
38,2,9,5,8,4,0,0,0,30,0
40,4,9,2,2,0,1,0,0,40,0
30,4,9,2,2,0,1,0,0,30,0
55,2,10,0,12,1,0,0,0,40,0
32,2,9,4,7,3,1,0,0,20,0
68,1,6,5,7,1,0,0,0,90,0
29,2,10,4,11,3,0,0,0,40,0
42,2,9,2,11,5,0,0,0,40,1
56,5,9,2,0,0,1,0,0,40,0
46,1,10,0,12,1,0,0,0,40,0
33,1,11,4,10,1,1,0,0,70,0
58,2,10,6,2,1,1,0,0,40,0
56,3,15,2,9,0,1,99999,0,40,1
50,2,2,5,9,4,0,0,0,40,0
63,0,14,2,3,0,1,0,0,50,1
44,2,9,2,2,0,1,0,0,40,1
44,2,9,2,5,5,0,3137,0,30,0
23,2,9,5,6,1,1,0,0,40,0
38,2,9,0,11,1,1,0,0,50,1
32,4,9,2,3,0,1,0,0,40,0
39,1,14,2,9,0,1,7298,0,40,1
38,2,12,2,2,0,1,0,0,50,1
48,2,13,2,11,0,1,0,0,40,0
36,2,10,2,2,0,1,0,0,45,0
55,4,14,2,9,0,1,0,1977,40,1
45,2,9,2,2,0,1,0,0,40,0
52,2,7,2,7,0,1,0,0,32,0
25,1,10,4,0,4,0,0,0,40,0
45,2,10,2,11,0,1,0,0,40,1
52,2,16,2,9,5,0,99999,0,35,1
55,2,13,2,12,0,1,0,0,55,1
34,2,13,2,11,0,1,7298,0,46,1
55,2,13,2,0,0,1,0,0,40,1
40,2,13,4,12,1,1,0,0,40,0
32,1,12,2,2,0,1,0,0,40,1
48,2,9,0,0,4,0,0,0,37,0
34,2,10,2,9,0,1,0,1902,38,1
23,2,13,2,9,0,1,0,0,40,0
55,4,9,2,11,0,1,0,0,40,0
49,2,9,0,7,1,0,0,0,24,0
56,2,9,6,0,1,0,0,0,40,0
28,4,14,0,11,1,1,0,0,54,0
63,2,6,6,4,4,0,0,0,56,0
33,2,12,0,0,1,0,0,880,40,0
32,2,10,0,9,1,0,0,0,30,0
70,3,13,0,11,1,0,0,0,40,0
38,2,12,4,0,1,0,0,0,38,0
60,5,12,2,9,0,1,0,0,20,0
27,2,9,4,5,3,1,0,0,40,0
32,2,9,2,11,0,1,0,0,30,0
23,2,8,2,2,0,1,0,0,40,0
25,2,13,4,3,1,0,0,0,50,0
58,2,15,2,9,0,1,0,0,45,1
46,5,10,0,10,4,0,0,0,40,0
47,1,9,2,7,5,0,0,0,7,1
79,2,4,6,7,4,1,0,0,5,0
32,1,13,0,9,4,0,0,0,35,0
21,2,9,4,5,3,1,0,0,40,0
42,2,11,2,0,0,1,0,0,32,0
48,2,9,0,3,1,1,0,0,40,0
27,2,8,2,4,0,1,0,0,40,0
39,2,9,2,13,0,1,0,0,50,0
18,2,10,4,13,3,1,2907,0,30,0
52,5,10,5,10,4,1,0,0,40,0
19,2,9,4,0,3,1,0,0,30,0
26,2,13,4,3,1,0,0,0,40,0
44,0,13,2,9,0,1,15024,0,40,1
40,2,15,2,9,5,0,0,0,40,0
22,2,9,2,2,0,1,0,0,40,0
44,2,4,2,5,0,1,0,0,50,0
32,2,9,4,2,3,1,0,0,40,0
54,2,9,2,13,0,1,0,0,65,0
43,2,13,2,3,0,1,0,0,40,1
32,2,14,2,9,0,1,0,1902,45,1
19,2,10,4,7,3,1,0,0,14,0
38,2,9,2,2,0,1,0,0,40,1
23,2,8,4,13,1,1,0,0,46,0
30,2,11,4,2,1,1,0,0,40,0
51,2,9,2,7,0,1,0,0,35,0
26,2,13,4,2,1,1,0,0,45,1
46,2,7,2,2,0,1,0,1902,40,1
53,5,4,3,7,4,0,0,0,45,0
25,2,9,4,2,2,0,0,0,40,0
35,2,9,4,6,4,0,0,0,40,0
56,2,9,2,13,0,1,0,0,44,1
52,4,6,0,7,3,0,0,0,27,0
53,3,11,2,3,0,1,0,0,40,1
39,2,9,2,3,0,1,0,0,40,0
33,2,13,4,3,3,1,0,0,40,0
50,2,6,2,4,0,1,0,0,45,0
30,2,13,2,9,5,0,0,0,40,0
33,2,9,4,7,3,1,0,0,40,0
37,2,6,0,7,4,0,0,0,33,0
51,4,9,2,4,0,1,3103,0,60,1
34,3,9,2,2,0,1,0,0,50,0
22,2,10,4,3,1,1,0,0,35,0
31,2,4,6,0,1,0,0,0,35,0
43,4,9,2,11,0,1,0,0,45,0
49,0,4,4,7,1,1,0,0,20,0
37,1,9,2,10,0,1,7688,0,35,1
24,2,10,4,11,1,1,0,0,65,0
30,2,7,2,5,0,1,0,1651,40,0
62,2,9,0,8,4,0,0,0,99,0
50,2,9,2,9,0,1,99999,0,40,1
48,2,14,2,9,0,1,15024,0,40,1
34,2,14,2,9,0,1,0,0,55,1
50,2,9,2,12,0,1,0,1848,40,1
34,4,10,2,4,5,0,0,0,30,0
46,2,2,5,6,3,0,0,0,40,0
20,2,10,4,0,3,0,0,0,10,0
44,2,15,2,9,0,1,15024,0,80,1
24,2,10,5,11,4,0,0,0,45,0
23,2,8,4,2,1,1,0,0,50,0
51,1,14,2,9,0,1,0,0,40,0
29,2,11,5,2,1,1,0,0,40,0
31,2,10,5,11,1,1,2174,0,52,0
63,2,14,2,5,0,1,0,0,46,0
46,2,4,4,7,3,1,0,0,52,0
46,1,15,2,10,0,1,0,0,40,1
31,2,10,4,0,3,0,0,0,35,0
19,1,10,4,11,3,0,0,0,16,0
56,2,9,2,5,0,1,0,0,40,0
58,2,10,2,2,0,1,0,0,50,0
36,2,9,2,13,0,1,0,0,40,0
39,1,12,2,2,0,1,0,0,40,1
31,1,13,2,9,0,1,0,0,40,1
32,2,6,4,2,1,1,0,0,50,0
42,2,10,4,4,1,1,0,0,28,0
48,2,9,6,3,1,1,14084,0,45,1
40,2,10,2,11,2,1,0,0,40,0
46,2,12,2,2,0,1,0,0,40,0
63,4,13,2,11,0,1,0,0,15,0
43,2,12,4,11,3,1,0,0,40,0
60,4,10,2,4,0,1,0,0,50,1
39,2,9,4,3,1,1,0,0,42,0
24,3,13,4,3,3,1,0,0,40,0
34,2,16,2,9,0,1,0,0,50,1
24,2,13,4,7,3,0,0,0,75,0
28,2,10,0,5,1,1,0,0,50,0
28,2,10,2,5,0,1,0,0,40,0
27,4,9,2,9,0,1,0,0,50,1
34,2,9,4,6,1,1,0,0,40,0
39,2,9,2,4,0,1,0,0,24,0
23,2,13,4,7,3,0,0,0,30,0
25,2,9,4,11,1,1,4416,0,42,0
56,1,9,2,7,0,1,0,0,40,0
43,1,10,2,10,0,1,0,0,40,0
27,1,9,2,13,0,1,0,0,60,0
18,2,7,4,11,3,0,0,0,25,0
29,2,9,4,7,2,0,0,0,52,0
39,2,9,4,11,4,0,0,0,60,0
37,2,10,0,5,3,1,0,1504,40,0
36,2,14,2,9,0,1,0,1977,60,1
19,2,9,4,0,1,0,0,0,30,0
31,1,13,2,2,0,1,0,0,51,0
32,4,9,2,2,0,1,0,0,40,0
44,4,13,2,4,0,1,0,0,90,0
42,2,9,0,10,1,1,0,0,35,0
41,0,9,5,3,1,0,0,0,40,0
33,2,9,2,11,0,1,0,0,60,1
44,4,10,2,11,0,1,0,0,80,1
23,2,11,4,0,4,0,0,0,40,0
35,2,10,2,11,0,1,0,0,45,0
59,2,13,0,3,1,1,0,0,40,0
49,2,13,2,3,0,1,0,0,45,1
24,2,6,4,7,2,1,0,0,30,0
47,2,10,2,9,0,1,0,0,50,1
77,4,10,4,2,1,1,0,0,40,0
61,2,9,2,10,0,1,0,0,40,0
34,5,14,2,9,0,1,0,0,50,1
22,2,10,4,11,1,0,0,0,20,0
31,2,14,4,9,1,0,2597,0,45,0
20,2,4,4,6,3,0,0,0,52,0
37,2,9,2,3,0,1,0,1902,55,1
28,2,7,2,5,0,1,7688,0,40,1
26,4,9,2,2,0,1,0,0,50,0
46,2,14,2,9,0,1,0,0,40,0
53,2,9,0,2,4,0,0,0,48,0
44,2,9,4,0,3,1,0,1504,50,0
68,4,9,2,2,0,1,0,0,25,0
59,2,11,0,9,1,0,0,0,36,0
42,3,13,2,3,0,1,0,0,60,1
